ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
0,City Hunter,Manga,35,Feb 1985 - Nov 1991,https://myanimelist.net/manga/792/City_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/5/272237.jpgSem informaçõess=91027a075fc64be41ed3f44b0186cc64
1,Keijo!!!!!!!!,Manga,18,Jul 2013 - Apr 2017,https://myanimelist.net/manga/56505/Keijo,https://cdn.myanimelist.net/r/100x140/images/manga/3/168393.jpgSem informaçõess=630ab39042bfd9b95226a974cb5920b3
2,Rain,Manga,Sem informações,Nov 2008 -,https://myanimelist.net/manga/17237/Rain,https://cdn.myanimelist.net/r/100x140/images/manga/3/25899.jpgSem informaçõess=fc5341a8b225edc266780a138e24db97
3,Hidari no Futari,One-shot,Sem informações,2011 - 2011,https://myanimelist.net/manga/26610/Hidari_no_Futari,https://cdn.myanimelist.net/r/100x140/images/manga/3/42789.jpgSem informaçõess=491ea73ed1f10bba3610c7b74ef277af
4,Odd Girl Out,Manhwa,Sem informações,May 2015 -,https://myanimelist.net/manga/119521/Odd_Girl_Out,https://cdn.myanimelist.net/r/100x140/images/manga/2/222276.jpgSem informaçõess=bef6998d7e636de5d833d0be680b4118
5,Watashi no Fushidara,Manga,2,Nov 2015 - Dec 2016,https://myanimelist.net/manga/106646/Watashi_no_Fushidara,https://cdn.myanimelist.net/r/100x140/images/manga/2/195205.jpgSem informaçõess=bf37e6541ed445b79ac486401226e59d
6,Uchuu Senkan Yamato,Manga,3,Oct 1974 - Dec 1979,https://myanimelist.net/manga/33333/Uchuu_Senkan_Yamato,https://cdn.myanimelist.net/r/100x140/images/manga/1/284283.jpgSem informaçõess=18071abe2d33c7585485a9f90a743049
7,Ruru Chouchou,One-shot,Sem informações,Dec 2012 - Dec 2012,https://myanimelist.net/manga/47807/Ruru_Chouchou,https://cdn.myanimelist.net/r/100x140/images/manga/4/111251.jpgSem informaçõess=4273abac7c8a2e943c9d13243b6b5a17
8,Confession,Manga,1,Apr 1998 - Sep 1998,https://myanimelist.net/manga/1541/Confession,https://cdn.myanimelist.net/r/100x140/images/manga/3/13085.jpgSem informaçõess=285e4f27a7be4d0d43cf08e44c5dc109
9,Ibara no Namida,Manga,1,Jan 2011 - Jan 2011,https://myanimelist.net/manga/33841/Ibara_no_Namida,https://cdn.myanimelist.net/r/100x140/images/manga/1/61707.jpgSem informaçõess=e3ab7f88a18db79595cd8ca87ca04c43
10,Inuyashiki,Manga,10,Jan 2014 - Jul 2017,https://myanimelist.net/manga/64465/Inuyashiki,https://cdn.myanimelist.net/r/100x140/images/manga/2/156353.jpgSem informaçõess=ded4aa7026a2a2a078ee791cb0e31fea
12,The Girl's Winter,Manhwa,Sem informações,2007 - 2007,https://myanimelist.net/manga/3898/The_Girls_Winter,https://cdn.myanimelist.net/r/100x140/images/manga/1/4464.jpgSem informaçõess=f5c43cc9c2742dca40bf0baa2d658091
13,Hinamizawa Teiryuujo: Higurashi no Naku Koro ni Genten,Manga,1,Oct 2011 - Jul 2012,https://myanimelist.net/manga/30139/Hinamizawa_Teiryuujo__Higurashi_no_Naku_Koro_ni_Genten,https://cdn.myanimelist.net/r/100x140/images/manga/1/176843.jpgSem informaçõess=5a4a82706455a162bea471909d89e674
14,Mookhyang: Dark Lady,Manhwa,Sem informações,Jul 2019 -,https://myanimelist.net/manga/129808/Mookhyang__Dark_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/3/236954.jpgSem informaçõess=9b5c44089bed67c546039905a04b091c
15,Bride,Manhwa,Sem informações,-,https://myanimelist.net/manga/54629/Bride,https://cdn.myanimelist.net/r/100x140/images/manga/3/97207.jpgSem informaçõess=9b333ce9d899774126f8c8a7464b22d1
16,I Was the Male Lead's Ex,Manhwa,Sem informações,Mar 2021 - Feb 2023,https://myanimelist.net/manga/148205/I_Was_the_Male_Leads_Ex,https://cdn.myanimelist.net/r/100x140/images/manga/3/263001.jpgSem informaçõess=b8091ad66b7e6e21a170111db2f3bba7
17,Jinrui wo Metsubou sasete wa Ikemasen,Manga,4,Sep 2020 - Feb 2022,https://myanimelist.net/manga/131703/Jinrui_wo_Metsubou_sasete_wa_Ikemasen,https://cdn.myanimelist.net/r/100x140/images/manga/1/244404.jpgSem informaçõess=a02c3aa6b2fca61eb5b0d2fee2b93698
18,Crepuscule,Manhwa,Sem informações,Feb 2011 - Oct 2016,https://myanimelist.net/manga/45771/Crepuscule,https://cdn.myanimelist.net/r/100x140/images/manga/3/189103.jpgSem informaçõess=5498f32f61227379c6477233e4f002ae
19,Mononoke: Umibouzu,Manga,2,Sep 2013 - Nov 2014,https://myanimelist.net/manga/88229/Mononoke__Umibouzu,https://cdn.myanimelist.net/r/100x140/images/manga/3/155676.jpgSem informaçõess=8d200163e6476ebde4f0f468844b8e82
20,Tensura Nikki: Tensei shitara Slime Datta Ken,Manga,Sem informações,Apr 2018 -,https://myanimelist.net/manga/117179/Tensura_Nikki__Tensei_shitara_Slime_Datta_Ken,https://cdn.myanimelist.net/r/100x140/images/manga/1/220263.jpgSem informaçõess=826d1a2dae56cf4787208f2b0a678c3b
21,Kedamono ni Lollipop,Manga,2,Aug 2014 - Feb 2016,https://myanimelist.net/manga/88072/Kedamono_ni_Lollipop,https://cdn.myanimelist.net/r/100x140/images/manga/1/169130.jpgSem informaçõess=a90b0ccf9914cc1e1f78f22a50b49d9e
22,High School! Kimengumi,Manga,20,Apr 1982 - Jun 1987,https://myanimelist.net/manga/7634/High_School_Kimengumi,https://cdn.myanimelist.net/r/100x140/images/manga/1/187153.jpgSem informaçõess=c4519c88dd023107704190cbd4e4c84f
23,Tounan Kadobeya Kare no Koi,Manga,1,Oct 2014 - May 2015,https://myanimelist.net/manga/119830/Tounan_Kadobeya_Kare_no_Koi,https://cdn.myanimelist.net/r/100x140/images/manga/1/221589.jpgSem informaçõess=db3d9938a3e3480189c1ffde5ee3b0bf
24,Kabu no Isaki,Manga,6,Jun 2007 - Nov 2012,https://myanimelist.net/manga/3321/Kabu_no_Isaki,https://cdn.myanimelist.net/r/100x140/images/manga/2/52905.jpgSem informaçõess=12602f6e473e8a51dc61710164dde80b
25,F-Class Destiny Hunter,Manhwa,Sem informações,Apr 2023 -,https://myanimelist.net/manga/158399/F-Class_Destiny_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/2/281202.jpgSem informaçõess=aa9f437a4b195247b853deffa285ad92
26,Finlandia: Santa Yousei Gakkou,Manga,2,Dec 2010 - Aug 2011,https://myanimelist.net/manga/25475/Finlandia__Santa_Yousei_Gakkou,https://cdn.myanimelist.net/r/100x140/images/manga/3/152674.jpgSem informaçõess=f7972a06597951b24014fbe1310ed9de
27,Youkai Niisan,Manga,4,Jun 2015 - Jul 2017,https://myanimelist.net/manga/110492/Youkai_Niisan,https://cdn.myanimelist.net/r/100x140/images/manga/3/202968.jpgSem informaçõess=e2dd0509b200a33f69b622fb6a0d9f80
28,Mamacolle,Manga,4,2005 - 2008,https://myanimelist.net/manga/2584/Mamacolle,https://cdn.myanimelist.net/r/100x140/images/manga/3/19669.jpgSem informaçõess=8a9bdd7857a7d4bdae14838b5b01e050
29,DoLL,Manga,2,Jul 2008 - Aug 2009,https://myanimelist.net/manga/13796/DoLL,https://cdn.myanimelist.net/r/100x140/images/manga/3/58489.jpgSem informaçõess=398c5299972a89d3fc146aa2050d0c6b
